balloon_id,latitude,longitude,altitude,speed_kmh,direction_deg,speed_kmh_1h,speed_kmh_2h,speed_kmh_4h,speed_kmh_5h,speed_kmh_6h,speed_kmh_7h,speed_kmh_12h,speed_kmh_13h,speed_kmh_15h,direction_deg_1h,direction_deg_2h,direction_deg_4h,direction_deg_5h,direction_deg_6h,direction_deg_7h,direction_deg_12h,direction_deg_13h,direction_deg_15h,wind_speed,wind_direction,predicted_speed_kmh,predicted_direction_deg
balloon_47,-53.78223047329764,-27.841641349577905,18.47439000029009,2.9985416326243057,0.2087529899732203,2.9985416326243057,18.85328892906475,18.85444974904551,18.967859880350932,19.120801742165703,19.33746475114676,19.60477383159603,20.03235775367035,20.12162762284579,0.2087529899732203,359.1443717611446,357.18950715127244,355.2309989093632,354.09703342461034,353.03287183016886,349.136356522079,346.09692146729077,344.0293542885362,45.324,315,3.0973231388226288,0.8094230331657127
balloon_48,12.4505976940655,54.88090305580241,2.8340232186473315,16.619770861861785,100.33093850776498,16.619770861861785,99.0370245790598,97.49584902517238,96.1758304143943,95.443740146927,94.85611234611083,93.68527638771069,93.92780437665265,94.32215406498818,100.33093850776498,99.26871326165912,96.8724259380349,94.5201967981606,92.85480124793298,91.02931453810612,84.64982015947112,78.76223746001273,75.54721617196583,17.244,65,16.61527438048305,100.21621875581236
balloon_49,17.79607483347028,42.04869497997522,9.205612960561185,32.758412259840476,43.897282411906986,32.758412259840476,197.1691948141088,195.75094579167123,193.6744336092893,192.3848599151407,190.36201392462328,183.411247279698,174.55485471755222,169.45697675965496,43.897282411906986,43.38349045526968,43.03980804509018,43.30585741913228,43.46492077763219,43.780359887325176,43.95332090460005,47.30150547305237,48.45013818856194,12.78,294,32.79087431987007,43.63334688316686
balloon_50,-51.32954554016908,103.52164281685216,6.87726705659866,42.05208385539695,186.624861875433,42.05208385539695,257.0441502159265,269.18439873841083,280.3609160663131,287.29329223133016,293.94644571509934,310.64718459799826,324.6727651146318,329.8216352759249,186.624861875433,186.1363446807106,185.05653731095663,184.23698118729743,183.48407225444623,182.65808336949337,179.10467809128625,173.78155279152247,168.84447681558106,57.78,309,42.096608440383044,186.54504344073052
balloon_51,56.791427473624616,177.86750571716036,19.335015541460656,18.631835595532497,214.8103101537566,18.631835595532497,108.03417294027471,102.67873709874186,99.05116444032645,97.4198433828828,96.85244661377013,99.5659930473528,108.11282617692024,113.66464700007064,214.8103101537566,217.4514935036058,223.63807676098736,229.38488923872532,233.73633909027427,238.05525550123951,251.9907130616624,259.0225405355526,262.725024411185,65.44800000000001,68,18.605920487785696,214.85932016441012
balloon_52,-50.96188639026786,76.90938497481164,15.974468074848785,76.08741909435881,225.07760115193125,76.08741909435881,452.6978957067573,442.07181698655467,430.15424175611986,421.5706002326632,412.0995650755792,380.81743468829575,346.0847574213383,327.0486407115987,225.07760115193125,225.92076255392985,230.5727208162197,241.2093496121088,247.6665475024388,254.6924836933027,263.3229895221575,296.50632752198476,302.1384824362759,47.376000000000005,306,75.77424867474345,225.18511588065084
balloon_53,-55.275814093436715,102.36347930519344,18.50260921054693,10.168662108234384,333.125198187796,10.168662108234384,61.11186525864335,61.07223773710309,60.84352573008257,60.65489459990297,60.19909380383308,58.40781404990675,56.15721277160107,54.87529080125248,333.125198187796,331.9240173742395,329.01224017051067,326.33673642190683,324.3176343462572,322.1248986186837,314.30640927288675,307.3588911732679,303.08110052977,48.564,291,10.172857138555246,333.04287782849394
balloon_54,6.551824810525175,-149.75045846205822,21.109378577138436,11.461510477350116,305.6401729291109,11.461510477350116,68.59050665626225,68.34145677405455,68.60842547509968,69.07967203524595,69.83758026159062,73.42056893692413,78.76079810476351,82.13793653484201,305.6401729291109,304.1210255067246,299.09897810578593,294.0355667116575,290.51008462882317,287.15557672386467,277.21850406693807,267.69028516832714,263.53357246936224,25.272,74,11.458714287570183,305.6713420053064
balloon_55,36.28015516854014,122.47912799375442,2.575137091511293,50.65651822310128,284.786444064176,50.65651822310128,299.69489544052334,288.75893259056943,276.8440533762566,268.9648265808826,260.3629215918526,233.11198883615097,205.02587894302297,190.16890567611665,284.786444064176,285.2712761772903,285.4533810717927,283.6807488364792,283.2635529533647,282.85588290314774,285.67375577962093,282.0419186106559,283.2283365379498,31.607999999999997,346,50.44483453061535,285.1216591988341
balloon_56,-49.19812111323305,-153.2765322229104,2.562226364388362,45.5540701464365,73.5535851522551,45.5540701464365,275.36642875391266,280.8114257712912,285.65927750975345,288.25101814261916,290.3221445118073,293.76220404072694,294.88413203541876,293.8443375925797,73.5535851522551,74.06546277714466,73.78349822586057,71.02664328623325,70.2590754296773,69.57726160628692,72.87586135978859,67.99951134382508,69.16202716031376,28.548,211,45.618470702815515,73.30533627586537
balloon_57,-15.833259936129448,61.846743689254005,10.7904525615566,11.280095855968604,21.351999097635087,11.280095855968604,68.27606809516436,69.32283807576394,70.58585878674809,71.45420647593194,72.54279937729936,76.54247540923429,80.88015784629322,83.12389106605663,21.351999097635087,23.334588558655753,27.42755421844663,31.268938031142795,33.5760096316377,35.97798828380394,41.87476247493089,46.282160679954586,48.06778760294856,7.128,228,11.269047676691086,21.294051018487888
balloon_58,-3.114832445528657,-51.00099191035631,7.873982481767605,77.63249644758267,294.68728502988716,77.63249644758267,458.4254034385399,438.77066466500014,418.21891966941394,403.72137660758375,388.5225612800066,339.709039661755,287.6784019782814,259.9749827230631,294.68728502988716,294.126859590619,292.9031711355024,291.5578479563234,290.6471240142671,289.7207537198679,287.71786904976346,284.39075258767565,283.5908016177003,5.004,6,77.23049193859582,294.90965812549774
