icao,latitude,longitude,velocity,heading,vertical_rate,on_ground
a72567,35.677,-108.1286,284.04,71.63,0.0,False
acd47e,42.178,-107.2987,183.37,296.85,-0.33,False
ac2f18,33.6624,-110.7489,276.23,71.77,8.78,False
a4c592,41.2286,-73.2314,226.76,24.53,4.88,False
a94b29,39.2273,-76.1311,271.84,36.46,-10.08,False
a8584a,29.4562,-80.6387,205.12,185.32,-12.68,False
861f00,33.4599,135.0771,174.45,240.11,0.0,False
a95212,45.8542,-122.7405,95.48,260.39,0.33,False
a70b2f,40.2979,-84.0572,191.91,305.95,0.33,False
a71e5c,37.4941,-84.6759,188.3,248.69,-0.65,False
a915cf,40.0462,-86.8584,278.73,127.12,-0.33,False
80039d,12.9448,77.5803,69.6,86.19,-5.53,False
ab1628,41.5751,-91.9325,196.34,330.14,0.33,False
abd9b6,39.5094,-107.42,182.0,247.57,0.0,False
851958,41.3425,140.3005,216.04,206.14,0.0,False
c01b4f,51.5852,-97.6919,218.39,286.98,0.0,False
a247f0,34.1629,-119.1962,185.46,311.74,9.1,False
a0dab2,39.988,-105.9525,164.43,273.59,5.85,False
7c48a4,-27.9663,153.2586,56.98,320.13,1.3,False
a69b86,36.4382,-79.9236,160.8,213.39,-5.53,False
aa56f8,33.3337,-95.9749,222.26,3.98,0.0,False
a94b05,41.0499,-74.6264,193.32,328.38,11.7,False
a94b02,34.9925,-100.4074,266.22,137.74,0.0,False
ac2f37,40.4092,-101.2336,281.89,80.23,0.0,False
a94b08,31.2491,-102.4027,206.33,280.78,0.0,False
a29748,32.9748,-96.6677,157.43,85.31,13.98,False
8014a4,19.4513,75.8387,236.92,352.89,0.0,False
800dac,18.4615,74.1964,252.09,114.47,0.0,False
800dab,22.5154,85.2979,267.1,69.72,-0.33,False
7cf9ea,-31.6782,116.0158,63.69,353.51,-3.9,False
aa441c,39.1963,-69.3344,337.14,62.07,5.85,False
aa07f9,40.5212,-100.5024,178.08,258.33,0.0,False
c82454,-43.4822,172.5288,0.0,0.0,0.0,False
c0482a,44.8948,-73.5142,214.68,2.2,-11.38,False
7c7cd0,-37.6523,144.4662,187.56,295.16,21.13,False
7c7cd1,-34.7226,149.4299,253.26,60.15,-11.7,False
7c7ccf,-35.7743,140.9651,265.41,113.53,3.58,False
c03517,45.3105,-114.4957,204.57,307.85,0.0,False
885225,16.0378,100.3444,267.47,15.51,5.85,False
885222,-0.6714,104.9991,250.66,159.71,0.0,False
8014b0,13.1909,77.538,66.88,90.44,-3.25,False
a737c7,29.0459,-81.9319,262.9,18.72,0.0,False
7cf9e8,-31.5975,115.8928,127.08,342.81,-4.23,False
c0481c,43.3045,-79.4769,132.07,205.87,0.33,False
7cf9e9,-31.5036,116.3563,139.6,287.37,0.98,False
7cf9e2,-32.6968,116.4571,102.35,107.25,-8.78,False
7cf9e1,-31.6652,115.6012,115.44,23.37,-3.58,False
c8244a,-43.525,172.3258,61.82,18.43,1.3,False
c8244b,-44.6676,170.8441,121.95,47.22,0.0,False
c8244c,-38.8273,175.0413,144.53,6.75,-4.88,False
861e9a,35.5119,137.7098,184.2,260.35,0.0,False
a0dae2,33.2961,-95.4598,262.76,72.45,4.23,False
e4808c,-16.7409,-39.7735,224.36,27.74,-0.33,False
ad072a,40.9985,-73.6545,87.1,330.26,-5.2,False
7c362d,-32.1803,116.8141,66.4,169.73,0.0,False
a28461,31.9561,-82.9886,149.29,216.59,-4.55,False
7cf9d5,-7.3634,112.7623,237.52,140.45,0.0,False
a64d4d,38.4466,-75.5828,169.24,208.9,0.33,False
aaa74e,33.3163,-84.5097,34.07,308.25,-1.95,False
a65449,44.5225,-92.1402,240.89,125.96,7.15,False
800da0,13.1909,77.5379,77.68,90.38,-3.9,False
a1512f,37.3254,-122.2192,186.56,128.96,9.75,False
800da3,29.4508,75.9905,204.81,332.15,7.15,False
ab5d4a,32.3352,-95.1274,183.89,272.89,0.0,False
ab14d9,35.3412,-81.4295,303.73,53.4,0.33,False
a91700,26.0752,-79.9905,82.85,271.42,-4.23,False
00b1f2,-31.8459,115.4216,136.04,105.35,-11.05,False
84d28e,33.815,133.3916,309.95,75.39,-0.33,False
a70aa1,44.7496,-121.9248,218.64,334.94,0.0,False
75833c,22.1549,114.1068,186.42,137.46,14.96,False
c81d95,-46.4116,168.3138,25.0,143.37,-1.63,False
86d5fa,35.4432,139.4587,158.98,283.09,13.33,False
8014e5,24.7933,84.3122,191.06,303.13,0.0,False
a6f28c,41.2579,-86.8301,161.53,315.77,-6.18,False
861e70,37.0994,137.2327,210.32,223.61,0.33,False
c81d9d,-37.5814,174.7384,190.34,342.05,-3.9,False
861e78,33.6508,136.5977,278.72,96.78,1.3,False
ac1ab8,38.0654,-80.1993,279.18,72.3,0.33,False
85188c,34.7721,135.0616,178.96,251.04,0.33,False
758337,14.4923,120.1739,218.25,255.11,5.85,False
accd23,40.2739,-92.1531,161.33,323.17,-5.53,False
861e4e,34.3518,139.6407,194.55,81.48,-6.5,False
758335,34.8143,140.6856,176.4,6.03,-7.48,False
86cec5,33.5199,136.2039,192.64,209.78,5.85,False
78203b,23.1442,113.6755,220.86,191.96,0.0,False
49530d,43.5734,-70.5727,181.97,229.01,0.0,False
8014ed,28.1659,77.2372,121.62,9.74,-4.88,False
758306,35.7753,140.3934,0.51,239.06,,True
758305,33.553,137.4031,268.64,41.35,-2.93,False
8014c1,23.5363,84.8454,180.84,297.08,14.63,False
7c1c5c,-25.1755,151.9124,132.74,322.24,0.0,False
861e92,35.6028,139.9299,141.72,26.29,6.83,False
495308,36.3853,-9.3302,218.24,1.89,0.0,False
abc780,40.609,-101.6758,176.33,257.02,-5.2,False
ac1ad7,35.9136,-82.9048,176.78,236.03,0.0,False
acba1b,39.7896,-86.4703,192.64,252.44,0.0,False
a2cd7e,37.4031,-77.5119,30.46,195.68,-2.6,False
a2ba4f,38.4001,-79.993,217.08,6.81,0.0,False
8014bc,13.1651,77.9106,180.97,202.92,14.63,False
a4bdb9,40.7747,-73.8741,0.0,98.44,,True
a4d7e4,36.0737,-115.0091,90.54,270.33,-4.88,False
86cee7,34.5647,137.266,173.9,239.41,0.0,False
7c1013,-37.9763,145.0867,31.7,103.13,-0.65,False
8014d0,28.3306,77.4315,111.61,25.38,-4.23,False
8014ce,28.5877,76.9969,123.54,284.96,17.23,False
c04814,38.6391,-77.417,183.78,223.3,-0.33,False
ac712d,38.5884,-121.1732,197.24,101.28,18.21,False
8a03b0,-0.5751,104.8575,225.84,157.64,6.18,False
a09322,41.3105,-88.223,179.76,198.69,7.48,False
acd2be,32.5744,-110.2345,263.13,101.62,0.0,False
a99a3d,42.4509,-87.9981,176.66,348.92,0.33,False
0d0b4b,31.2803,-114.1932,214.77,304.76,0.0,False
7c4910,-32.0569,151.1136,86.34,166.21,0.0,False
a94ae5,27.9706,-81.6788,208.76,169.49,0.0,False
a99a52,29.5539,-83.7224,254.99,150.64,-5.2,False
a64172,33.4578,-112.357,48.87,126.87,-1.95,False
3c5429,45.6191,8.7235,12.86,348.75,,True
0d0b66,-9.6926,-78.3938,235.1,143.0,0.0,False
e4803d,-4.481,-39.0212,204.76,23.86,-12.03,False
e48044,-19.7844,-42.7688,217.17,49.71,0.0,False
ac82f5,34.1713,-93.9293,174.45,248.73,0.0,False
a1c6a8,34.357,-117.6799,264.54,55.94,7.15,False
7809b9,41.1453,40.8228,224.6,259.31,0.0,False
7809ae,24.5496,118.1425,5.92,143.44,,True
aae27f,26.6711,-98.2177,143.42,355.68,7.15,False
e48c4c,-8.0055,-36.0721,220.45,56.9,-14.31,False
3c5433,49.0089,8.9954,227.02,224.08,-4.88,False
3c5431,51.4699,12.4294,134.44,357.15,18.86,False
3c542f,59.6395,17.9267,0.06,208.12,,True
a831e5,37.6201,-122.3829,2.57,157.5,,True
c87f37,-40.3393,175.0916,105.22,15.6,-7.15,False
0d0b91,30.2938,-112.6004,218.23,310.41,0.33,False
a594fa,37.3473,-81.5324,189.84,179.53,0.0,False
3c6706,44.1244,-62.2732,297.86,68.31,0.33,False
3c6704,39.4138,-97.6339,296.94,74.42,0.33,False
a5d1b9,42.5782,-81.7583,207.06,278.57,0.0,False
3c6703,46.2721,20.7101,227.54,297.03,0.33,False
a08038,31.0972,-89.0597,128.43,281.08,0.33,False
a46304,19.3725,-99.1909,103.49,87.72,-5.2,False
0d0b13,29.8822,-111.8152,211.2,319.25,-0.33,False
7809ce,22.621,113.495,204.72,195.75,0.33,False
5003bd,-21.6738,-48.9838,245.47,12.96,0.0,False
7809cd,22.6143,114.0402,133.51,76.18,-5.53,False
a88d47,35.5742,-84.7052,219.11,356.23,0.0,False
a75a2d,40.5186,-89.0735,204.69,227.85,-0.33,False
a7d754,36.5254,-82.5074,162.53,239.78,-7.8,False
a95dd3,34.3332,-80.0294,269.63,20.79,0.0,False
0d0b0c,39.3067,-81.503,244.98,36.46,-7.15,False
7809e9,25.6976,116.7824,183.31,230.01,0.0,False
a27cdd,30.265,-81.3184,125.28,3.77,5.2,False
a7d751,30.104,-80.5128,199.1,190.12,-4.55,False
7809e3,25.1608,118.8382,255.48,48.51,0.0,False
3c6712,44.776,25.4473,226.08,294.47,0.0,False
3c6716,41.9702,-87.896,0.0,115.31,,True
801603,19.2805,73.2931,124.0,270.95,-0.65,False
7809df,22.1338,113.4984,220.13,160.76,0.0,False
a1034e,34.4162,-119.5884,48.35,339.44,0.65,False
a21c4c,33.4372,-111.9958,0.0,0.0,,True
801607,23.311,90.7573,179.96,252.7,4.88,False
a34f53,33.0823,-111.5688,138.53,300.09,-0.33,False
a030a8,40.7756,-73.8669,3.34,123.75,,True
a7745c,26.8027,-79.6019,199.3,197.73,-9.75,False
0d0b35,29.1427,-112.8505,236.08,134.91,-0.33,False
3c670a,43.1622,28.2182,228.12,299.74,0.0,False
a1bfde,32.0691,-97.3138,56.78,4.68,0.0,False
a8943d,33.9852,-110.4271,273.92,67.24,4.88,False
a6eacf,37.8709,-102.1846,201.63,284.18,0.0,False
7c2f04,-27.2072,153.049,29.03,150.26,-3.25,False
40808b,44.9883,-59.0667,293.04,70.52,0.0,False
e4805d,-19.512,-41.2757,234.7,31.74,0.0,False
aa4440,39.4605,-86.6453,266.09,31.08,0.0,False
7c4920,46.6959,20.5917,221.7,293.23,0.0,False
a977d4,33.438,-112.0014,0.0,270.0,,True
ac47b7,39.8042,-84.7225,218.67,201.68,0.0,False
a0ef75,39.1471,-81.8189,264.24,68.53,-0.33,False
a64160,33.8652,-97.2478,270.97,121.73,0.33,False
a7d6a8,38.6245,-74.8744,177.96,218.43,0.0,False
801759,27.9945,76.4929,214.41,202.87,9.1,False
a46345,34.017,-118.5274,142.43,96.64,-2.93,False
a666cd,46.4683,-120.2641,221.85,309.45,0.33,False
abc7c6,33.6366,-84.435,6.17,90.0,,True
c02eca,52.809,9.1681,221.42,298.29,0.0,False
a83f30,47.4443,-122.3092,7.72,149.06,,True
ac2412,37.6718,-106.9822,297.22,76.59,0.0,False
407b55,44.0146,17.3765,205.12,319.68,0.0,False
a1b3f1,36.8691,-87.5143,298.15,97.93,-0.33,False
a5cc35,38.832,-88.6406,299.52,91.57,0.0,False
abadc0,37.36,-121.9221,4.89,137.81,,True
7c1ce5,-32.1143,115.9599,54.45,112.2,0.65,False
7c6c52,-31.9425,115.9704,1.29,8.44,,True
c07e32,39.2505,-86.4001,212.04,219.29,0.33,False
ac97e4,38.8492,-77.0334,0.0,70.31,,True
7c6c56,-30.811,150.8117,215.93,209.86,0.0,False
e073cf,-30.4312,-61.5174,201.94,327.48,0.33,False
7c23d1,-34.9748,138.905,46.58,186.34,0.0,False
a40cd9,30.3487,-83.998,238.59,170.19,0.0,False
c035cc,43.5078,-80.6737,126.59,225.0,0.0,False
a2dffe,38.9013,-87.0662,226.09,38.9,-13.66,False
abea11,42.061,-94.435,178.64,267.85,0.0,False
