balloon_id,latitude,longitude,altitude,speed_kmh,direction_deg,speed_kmh_1h,speed_kmh_2h,speed_kmh_3h,speed_kmh_5h,speed_kmh_7h,speed_kmh_8h,speed_kmh_10h,speed_kmh_17h,direction_deg_1h,direction_deg_2h,direction_deg_3h,direction_deg_5h,direction_deg_7h,direction_deg_8h,direction_deg_10h,direction_deg_17h
balloon_489,-9.786481322659132,112.873374333265,18.652453603996584,182.44958813187284,265.6255909113522,182.44958813187284,230.46177685445065,242.2569836011935,259.8776091876985,282.095392993467,297.93904287855986,312.90043050896674,351.0803491534934,265.6255909113522,265.26419665409855,265.0692415197856,264.6646562569571,264.6556656936879,265.1332689625802,265.17552038456256,265.5311982692631
balloon_490,9.55715222353246,-33.66287548177664,2.0045423461724035,165.15065924049628,130.57802628385696,165.15065924049628,187.81869983173573,175.6548605327254,157.87350030911406,133.72719141405844,116.47912824153298,100.91577705940392,79.39683439830863,130.57802628385696,131.46532946244758,132.73303109542223,135.33625997325498,140.67971232621392,146.59622976801643,155.190391964038,199.94725315837044
balloon_491,-34.4844495435119,135.93830619302602,15.241108413685104,118.7044220833565,321.47899644388065,118.7044220833565,140.61768379656763,138.71884579833036,135.43693093418798,130.53702038680683,126.53450505838332,122.2867937716022,107.1261009292385,321.47899644388065,324.8541329972175,328.66794896388774,333.8080775759693,340.8474239894489,346.0843376190228,350.87520478762264,4.475525197547256
balloon_492,-9.05527652808613,98.06990582575068,2.9255001850291933,50.6550110853227,54.40543084563734,50.6550110853227,61.06602307382481,61.08901344089358,61.5862614586053,62.169344252248784,62.792763927411194,63.18476010504726,65.09742308635724,54.40543084563734,55.840449259235186,57.05262815836966,59.32577781847931,62.39408814457761,64.57490323015963,66.9314165348232,74.00113841450121
balloon_493,-26.750347198103633,-81.4845255435215,3.660457423145754,71.79943664513415,157.79890499266935,71.79943664513415,85.0693511302328,84.0051293917347,82.79779054437486,81.892155460312,81.60540045947405,81.47872594092098,81.74103121844048,157.79890499266935,154.21943718563728,150.81343157921776,145.8074824138974,140.03940623341134,136.0535319609229,133.25640952996025,129.72370368762083
balloon_494,52.184516002220406,82.34364486067071,21.869898022950572,75.50909757939331,280.4171105953576,75.50909757939331,87.46835055729146,84.1633081896376,79.32148257687177,73.3062062621764,69.26058232230929,65.46057546240294,56.41654537601109,280.4171105953576,274.53902254306144,268.31235365022985,259.0413805933526,245.9257556597304,235.55041326725248,226.0508528950124,198.38290539027295
balloon_495,14.533968490661758,22.67654754137678,17.632936795111846,220.80183697701648,339.57052882139436,220.80183697701648,271.4469313658904,277.8885383237939,287.2099555135537,297.9596527777501,304.90666978531664,310.79732405090084,320.88571548304725,339.57052882139436,340.0924866225322,340.62490387600604,341.72991269217044,343.1393321649713,344.0691306122241,345.5337063760006,351.363369808348
balloon_496,-7.955111071392361,36.573220798591784,16.398718366367287,54.20889542553242,97.35019035750577,54.20889542553242,65.17249092423685,65.05759144453404,65.14832603348766,65.0789091348286,65.02614723189606,65.10842611522882,65.70207759931601,97.35019035750577,96.7787502810802,96.6254841663186,96.52572433905596,97.03352202375912,97.95545486139184,99.44730370118776,106.99212769757465
balloon_497,60.63566770806154,-171.50052012713422,4.5568104072814934,111.7220455044268,279.91830468496653,111.7220455044268,131.67076249562328,128.96768633949247,124.6087393549549,118.3676828671352,113.43719910057412,108.0511217162029,90.2976430678658,279.91830468496653,279.9463368286261,279.5738056241694,280.2818849868892,279.74522930014086,278.4161667920971,279.1703666215549,282.6362760047123
balloon_498,15.552519313994924,-16.293687965174303,11.762435544594345,186.92407034878292,89.20431663130432,186.92407034878292,228.7700112672413,233.81235562949368,240.3411838678537,248.18836205687637,253.16949972253795,257.4098417251099,264.85492327504943,89.20431663130432,89.06307085296362,89.06157916119042,88.6076658878286,88.45336128757691,88.59300439797164,88.105022332249,85.73174190240832
balloon_499,-44.82201179227985,29.436685725489067,10.261583452916252,26.03599406885856,199.0162042539664,26.03599406885856,30.99214177289816,31.4613394620558,33.03516590303471,36.31136466945059,39.3519179322447,42.75955232901549,53.29045778454234,199.0162042539664,192.5598902889381,184.98946556785043,175.3167665143809,164.4767774672977,157.87917239668434,153.21642592432045,145.14399335108658
balloon_500,35.64094688793886,-109.17959562186164,13.609241095739012,123.0033209755993,99.81073727997956,123.0033209755993,144.90748522053272,141.91557327721472,137.15541679960106,130.79179737226477,125.96943723345343,121.109699357436,106.83329461251422,99.81073727997956,99.39491402587282,98.93669544870636,97.65013815994804,96.14564814816843,95.13659080957336,93.13160633552592,85.1192480896151
balloon_501,11.528352892921072,-16.73612720682663,9.433000038606586,398.082113447083,135.4243505522344,398.082113447083,482.5488405078209,487.0007047834411,492.3915412808104,496.5609571016734,497.9099006637848,497.33462517528585,482.60984740462715,135.4243505522344,134.53996623535602,133.34902548733015,130.99623711015136,127.20623821448294,123.41201680386224,119.47303185353168,106.31559797579348
balloon_502,-23.121804997462913,-43.292037327719385,19.69645984066354,61.15678805849517,315.46272093472214,61.15678805849517,93.09827671314666,114.1494566822089,146.14837563112772,188.03615724414104,219.03209704781156,249.24232463710536,334.68717880671795,315.46272093472214,317.30886866719396,319.1140908542501,321.0158299979909,323.4144667223561,325.2795828209706,326.9137976770613,331.8164918759386
balloon_503,18.31398375335834,-144.67230362706434,11.137024819803113,231.46605281941535,125.1586323941326,231.46605281941535,274.64420214305176,271.08466365815883,263.7530691815664,252.1678776804345,241.9242720335856,230.34281510653156,187.5209371228375,125.1586323941326,128.42428353817252,131.78702029502244,136.03389749904642,141.14070223632712,144.31992066001806,146.63391168789315,148.83749680349206
balloon_504,-69.39654480644955,40.89112858109219,6.763458458972499,172.16469358454827,311.4509959789068,172.16469358454827,,206.3858218644737,205.21388301811191,202.76485709670968,200.53275187200867,197.30866054421952,183.88196441518903,311.4509959789068,,311.56545237592496,313.5827241660111,314.4709922815221,315.71288712825617,314.2089593436315,306.89290979281657
balloon_505,56.34612832552839,77.34314518110372,3.308998248890793,103.94149065008632,248.4570887552726,103.94149065008632,137.28126024337038,151.3767110518053,173.2021627812654,202.9926424525511,225.6244683857084,248.31806931974,313.64189373128016,248.4570887552726,250.99454287791184,253.22195815936965,256.51635810057587,258.41659609890195,257.8196217632352,259.33778360531903,266.35636993656607
balloon_506,-80.94084368378412,-12.76355716202074,6.18483840480131,23.968679227589657,291.0589298282548,23.968679227589657,28.759903660000663,28.808262074818337,28.85623785418248,28.805966450056,28.757167729222164,28.643607490515027,27.979562470583375,291.0589298282548,290.2669550367185,290.2365795527194,289.6465906636215,290.3380363493975,292.0155912704399,293.10713901094255,297.2233730652458
balloon_507,51.666171142912866,-91.19069170781157,21.258698829708273,141.05295193741125,46.507201338228185,141.05295193741125,168.58604205322612,167.56144105179203,165.56408996397428,162.21828259055067,159.2245476926889,155.68703449571296,141.89661845148314,46.507201338228185,50.452153841492816,55.098698878330595,61.49725324501071,71.63837574126154,80.66988914798878,87.62479674828762,106.36500293104768
balloon_508,34.14142137593146,-104.77365552646094,20.311233424966595,121.58091766939624,316.786265861077,121.58091766939624,155.18116502883396,164.7295894323776,178.5372019857274,195.69575224761,207.5889257181532,218.6338171863107,244.1976942013862,316.786265861077,316.34909579129385,315.9943724339215,316.2271713434933,316.53157582456674,316.48047725843617,317.81494414059625,325.02949683554175
balloon_509,-33.3487813344218,90.22478443546468,16.935357771629683,111.71938267594771,158.6726315005609,111.71938267594771,130.31138416236985,125.85872223909526,119.53938010679435,111.54773878449087,106.07419694192616,101.0967402722326,90.32091787849428,158.6726315005609,156.68895937495972,154.41876326311035,150.6889807536404,144.81369320769682,139.69105395513964,134.4822279383145,117.09414542038724
