icao,latitude,longitude,velocity,heading,vertical_rate,on_ground
40808b,44.975,-59.1194,292.07,70.45,0.33,False
e4805d,-19.5446,-41.297,235.41,31.78,0.0,False
aa4440,39.4233,-86.6742,266.53,31.02,0.0,False
7c4920,46.6817,20.6398,221.7,293.23,-0.33,False
a977d4,33.438,-112.0014,0.0,270.0,,True
ac47b7,39.8374,-84.7054,218.19,201.73,0.0,False
a0ef75,39.1293,-81.8693,262.48,61.17,0.0,False
a64160,33.8879,-97.2918,270.97,121.73,0.0,False
a7d6a8,38.6472,-74.8514,177.96,218.43,-0.65,False
801759,28.0269,76.5083,215.08,202.95,8.78,False
a46345,34.0196,-118.555,150.15,96.49,-3.25,False
a666cd,46.4453,-120.2235,222.57,309.47,0.0,False
abc7c6,33.6366,-84.436,8.75,90.0,,True
c02eca,52.7921,9.2204,221.18,298.17,-0.33,False
a83f30,47.4443,-122.3092,7.72,149.06,,True
ac2412,37.6609,-107.04,297.6,76.71,-0.65,False
407b55,43.9893,17.4062,205.12,319.68,0.0,False
a1b3f1,36.8757,-87.5734,297.5,97.75,-0.33,False
a5cc35,38.8333,-88.7039,299.51,91.48,0.0,False
abadc0,37.3605,-121.9227,4.89,137.81,,True
7c1ce5,-32.1108,115.95,55.73,113.96,1.63,False
7c6c52,-31.9423,115.9704,1.54,2.81,,True
c07e32,39.2775,-86.3715,212.36,219.4,0.0,False
ac97e4,38.8492,-77.0337,2.57,101.25,,True
7c6c56,-30.7805,150.832,215.93,209.86,0.0,False
e073cf,-30.4312,-61.5174,201.94,327.48,-0.33,False
7c23d1,-34.9748,138.905,46.58,186.34,0.0,False
a40cd9,30.3866,-84.0055,238.5,170.31,0.0,False
c035cc,43.5196,-80.651,125.0,245.44,0.0,False
a2dffe,38.873,-87.0953,228.33,38.78,-12.35,False
abea11,42.0621,-94.3971,178.68,267.52,0.0,False
a1f00e,27.9584,-82.1876,138.04,190.3,-6.5,False
801738,22.6458,88.4409,0.51,278.44,,True
801736,19.0908,72.8575,5.4,30.94,,True
a64ce6,36.5497,-93.5972,199.47,291.8,0.33,False
abadd6,38.4153,-95.476,191.17,6.8,-11.05,False
a426da,33.7756,-80.814,184.43,188.02,-0.33,False
a030de,29.592,-95.4415,94.23,113.49,-3.9,False
abc7e9,33.8099,-111.4652,149.03,215.45,-7.8,False
ad574c,35.6138,-77.6642,306.91,33.93,0.0,False
801744,20.2706,73.2661,191.19,197.22,-9.1,False
801745,19.2414,72.7288,155.38,0.76,8.78,False
801742,13.8013,78.1132,178.39,229.33,-5.85,False
ad574f,38.4918,-81.2996,187.74,249.13,0.0,False
a71337,37.883,-84.3336,195.39,307.08,-0.33,False
a89fe0,34.3507,-118.7415,141.71,93.33,-10.4,False
ac2439,38.2303,-81.6644,181.61,254.39,-4.88,False
a283f4,37.0718,-89.7055,265.3,145.11,0.0,False
a34f7f,35.9438,-115.2453,126.83,24.69,-5.53,False
abfd39,28.3707,-81.2952,70.5,358.75,-2.6,False
a7e9e4,33.9405,-118.3917,4.63,81.56,,True
e49f0f,21.7161,-71.1738,251.94,131.11,0.0,False
c08536,43.7456,-79.6887,104.49,331.79,5.2,False
7c7f4d,-32.8672,151.0805,60.98,170.78,0.0,False
a2d3b3,41.5616,-120.2309,242.5,167.38,0.0,False
a7130c,39.7667,-104.9437,151.65,254.46,16.26,False
801751,13.9532,79.6254,149.92,136.39,-5.2,False
8a01ae,-6.4528,109.087,233.05,90.38,3.58,False
a46310,35.9995,-87.4021,183.34,329.48,0.0,False
801754,13.0016,80.1999,60.09,248.93,-1.63,False
a64cdb,35.9263,141.3474,115.4,320.06,0.0,False
a36994,44.5399,-93.15,207.7,149.82,10.4,False
ac377b,35.5739,-119.502,213.81,320.57,0.0,False
7cb035,-34.603,149.9966,54.04,271.64,3.9,False
a2107b,33.6379,-84.429,0.06,286.88,,True
abadf9,31.0271,-84.5396,212.68,323.66,-4.88,False
3c4b24,49.5673,8.7583,148.92,331.75,-10.08,False
39e68d,49.0042,2.5977,0.0,75.94,,True
ab4af1,33.4381,-111.9964,0.0,244.69,,True
3c6542,44.9518,25.2447,206.85,295.8,0.0,False
348049,45.7219,0.5552,233.53,215.41,0.0,False
ac245c,31.6593,-97.54,250.41,23.62,9.75,False
7c6c7c,-31.2693,148.6722,125.31,160.08,0.33,False
a4bf41,32.7041,-107.945,192.59,274.9,0.0,False
a4503d,34.1353,-77.239,287.97,16.4,0.0,False
e4932a,-16.3139,-44.5375,243.76,19.74,0.0,False
e4932b,-22.3661,-43.299,217.27,60.34,0.0,False
a4bf48,32.9432,-111.6359,63.78,294.29,2.28,False
a3a647,26.3556,-82.7671,223.88,297.51,7.15,False
7c6049,-31.059,151.4896,135.6,191.82,-0.65,False
ab9a5b,37.2798,126.6154,87.28,320.02,0.0,False
7c6c96,-30.4939,151.0222,221.29,210.14,0.0,False
3c4b35,20.1329,-98.7518,222.93,336.04,3.9,False
a61949,20.0517,-98.0592,219.61,255.35,-0.33,False
7c6c92,-24.445,151.6512,226.95,324.69,0.0,False
a7618f,37.7308,-122.2118,0.0,255.94,,True
3c4b2b,45.8353,-71.7593,279.2,70.63,0.0,False
c821ee,-44.4297,171.2971,259.82,199.19,-16.58,False
7618cc,2.6127,102.1239,218.35,306.09,2.6,False
7c7f9c,-37.7232,144.0334,50.04,165.11,0.33,False
a52cc8,36.1961,-78.1623,123.55,243.54,-7.48,False
aaca75,27.9856,-82.1177,116.78,269.75,3.58,False
3c6561,43.0442,-65.7786,293.82,65.81,0.0,False
c821f8,-39.0093,175.1137,127.28,346.92,-0.33,False
3c6566,49.7883,8.7015,126.56,270.47,-1.95,False
a008c5,42.0084,-82.567,232.47,102.01,7.15,False
